Age,G,J_max,Active Areas
MA,0.28,0.28,11.24
MA,0.3,0.28,10.82
MA,0.32,0.28,11.04
MA,0.34,0.28,11.5
MA,0.36,0.28,12.5
MA,0.38,0.28,14.04
MA,0.4,0.28,13.26
MA,0.42,0.28,13.52
MA,0.44,0.28,13.77
MA,0.46,0.28,16.23
MA,0.48,0.28,12.88
MA,0.5,0.28,13.44
MA,0.2,0.29,8.17
MA,0.22,0.29,10.07
MA,0.24,0.29,6.84
MA,0.26,0.29,9.01
MA,0.28,0.29,9.24
MA,0.3,0.29,11.04
MA,0.32,0.29,11.96
MA,0.34,0.29,14.0
MA,0.36,0.29,12.0
MA,0.38,0.29,12.74
MA,0.4,0.29,10.66
MA,0.42,0.29,15.86
MA,0.44,0.29,12.96
MA,0.46,0.29,15.12
MA,0.48,0.29,13.72
MA,0.5,0.29,13.16
MA,0.2,0.3,9.31
MA,0.22,0.3,9.5
MA,0.24,0.3,8.93
MA,0.26,0.3,9.45
MA,0.28,0.3,10.87
MA,0.3,0.3,11.96
MA,0.32,0.3,14.07
MA,0.34,0.3,11.5
MA,0.36,0.3,12.25
MA,0.38,0.3,12.74
MA,0.4,0.3,13.0
MA,0.42,0.3,13.0
MA,0.44,0.3,14.04
MA,0.46,0.3,13.44
MA,0.48,0.3,12.6
MA,0.5,0.3,12.88
MA,0.2,0.31,9.5
MA,0.22,0.31,10.07
MA,0.24,0.31,9.24
MA,0.26,0.31,8.19
MA,0.28,0.31,14.89
MA,0.3,0.31,12.42
MA,0.32,0.31,10.94
MA,0.34,0.31,13.0
MA,0.36,0.31,13.75
MA,0.38,0.31,14.04
MA,0.4,0.31,13.0
MA,0.42,0.31,13.78
MA,0.44,0.31,14.29
MA,0.46,0.31,15.68
MA,0.48,0.31,15.68
MA,0.5,0.31,13.72
MA,0.2,0.32,9.31
MA,0.22,0.32,10.78
MA,0.24,0.32,8.61
MA,0.26,0.32,10.37
MA,0.28,0.32,11.73
MA,0.3,0.32,8.51
MA,0.32,0.32,10.75
MA,0.34,0.32,13.25
MA,0.36,0.32,12.75
MA,0.38,0.32,13.26
MA,0.4,0.32,12.74
MA,0.42,0.32,13.52
MA,0.44,0.32,13.89
MA,0.46,0.32,12.04
MA,0.48,0.32,11.76
MA,0.5,0.32,15.12
MA,0.2,0.33,9.03
MA,0.22,0.33,10.71
MA,0.24,0.33,9.87
MA,0.26,0.33,11.12
MA,0.28,0.33,9.43
MA,0.3,0.33,12.19
MA,0.32,0.33,15.0
MA,0.34,0.33,14.5
MA,0.36,0.33,14.25
MA,0.38,0.33,13.78
MA,0.4,0.33,12.48
MA,0.42,0.33,13.26
MA,0.44,0.33,11.55
MA,0.46,0.33,13.72
MA,0.48,0.33,13.16
MA,0.5,0.33,15.4
MA,0.2,0.34,10.92
MA,0.22,0.34,10.29
MA,0.24,0.34,10.17
MA,0.26,0.34,9.89
MA,0.28,0.34,10.81
MA,0.3,0.34,14.43
MA,0.32,0.34,14.0
MA,0.34,0.34,13.25
MA,0.36,0.34,12.0
MA,0.38,0.34,11.42
MA,0.4,0.34,12.74
MA,0.42,0.34,12.74
MA,0.44,0.34,14.07
MA,0.46,0.34,13.72
MA,0.48,0.34,12.32
MA,0.5,0.34,13.72
MA,0.2,0.35,10.29
MA,0.22,0.35,11.76
MA,0.24,0.35,9.91
MA,0.26,0.35,10.12
MA,0.28,0.35,9.66
MA,0.3,0.35,11.99
MA,0.32,0.35,14.25
MA,0.34,0.35,13.25
MA,0.36,0.35,13.25
MA,0.38,0.35,13.71
MA,0.4,0.35,12.74
MA,0.42,0.35,14.04
MA,0.44,0.35,11.46
MA,0.46,0.35,14.56
MA,0.48,0.35,14.84
MA,0.5,0.35,14.56
MA,0.2,0.36,10.81
MA,0.22,0.36,11.67
MA,0.24,0.36,10.79
MA,0.26,0.36,9.66
MA,0.28,0.36,12.42
MA,0.3,0.36,12.0
MA,0.32,0.36,12.25
MA,0.34,0.36,12.25
MA,0.36,0.36,13.25
MA,0.38,0.36,12.29
MA,0.4,0.36,13.26
MA,0.42,0.36,14.56
MA,0.44,0.36,13.92
MA,0.46,0.36,15.68
MA,0.48,0.36,13.16
MA,0.5,0.36,15.4
MA,0.2,0.37,10.7
MA,0.22,0.37,11.22
MA,0.24,0.37,11.27
MA,0.26,0.37,12.19
MA,0.28,0.37,11.75
MA,0.3,0.37,14.25
MA,0.32,0.37,11.25
MA,0.34,0.37,14.0
MA,0.36,0.37,13.0
MA,0.38,0.37,12.65
MA,0.4,0.37,14.04
MA,0.42,0.37,12.74
MA,0.44,0.37,11.5
MA,0.46,0.37,14.28
MA,0.48,0.37,12.6
MA,0.5,0.37,13.72
MA,0.2,0.38,11.71
MA,0.22,0.38,12.31
MA,0.24,0.38,11.04
MA,0.26,0.38,12.19
MA,0.28,0.38,10.46
MA,0.3,0.38,13.5
MA,0.32,0.38,13.0
MA,0.34,0.38,13.25
MA,0.36,0.38,13.75
MA,0.38,0.38,13.33
MA,0.4,0.38,13.52
MA,0.42,0.38,13.0
MA,0.44,0.38,13.22
MA,0.46,0.38,15.68
MA,0.48,0.38,14.56
MA,0.5,0.38,14.28
MA,0.2,0.39,10.44
MA,0.22,0.39,11.3
MA,0.24,0.39,14.03
MA,0.26,0.39,10.35
MA,0.28,0.39,14.0
MA,0.3,0.39,11.5
MA,0.32,0.39,11.25
MA,0.34,0.39,13.25
MA,0.36,0.39,13.25
MA,0.38,0.39,10.8
MA,0.4,0.39,13.0
MA,0.42,0.39,13.0
MA,0.44,0.39,13.22
MA,0.46,0.39,15.68
MA,0.48,0.39,13.72
MA,0.5,0.39,13.44
MA,0.2,0.4,12.06
MA,0.22,0.4,12.47
MA,0.24,0.4,11.34
MA,0.26,0.4,12.63
MA,0.28,0.4,12.67
MA,0.3,0.4,14.12
MA,0.32,0.4,13.0
MA,0.34,0.4,11.0
MA,0.36,0.4,13.0
MA,0.38,0.4,13.01
MA,0.4,0.4,11.96
MA,0.42,0.4,12.74
MA,0.44,0.4,14.04
MA,0.46,0.4,15.67
MA,0.48,0.4,12.6
MA,0.5,0.4,13.44
MA,0.2,0.41,11.08
MA,0.22,0.41,9.04
MA,0.24,0.41,12.53
MA,0.26,0.41,12.93
MA,0.28,0.41,11.0
MA,0.3,0.41,12.7
MA,0.32,0.41,13.33
MA,0.34,0.41,14.85
MA,0.36,0.41,13.37
MA,0.38,0.41,14.13
MA,0.4,0.41,12.22
MA,0.42,0.41,12.86
MA,0.44,0.41,12.54
MA,0.46,0.41,12.03
MA,0.48,0.41,11.2
MA,0.5,0.41,16.8
MA,0.2,0.42,12.32
MA,0.22,0.42,11.87
MA,0.24,0.42,11.96
MA,0.26,0.42,11.33
MA,0.28,0.42,11.64
MA,0.3,0.42,12.47
MA,0.32,0.42,14.0
MA,0.34,0.42,10.9
MA,0.36,0.42,13.67
MA,0.38,0.42,12.27
MA,0.4,0.42,13.0
MA,0.42,0.42,12.0
MA,0.44,0.42,15.12
MA,0.46,0.42,14.65
MA,0.48,0.42,15.24
MA,0.5,0.42,15.68
MA,0.2,0.43,10.45
MA,0.22,0.43,13.06
MA,0.24,0.43,11.68
MA,0.26,0.43,12.74
MA,0.28,0.43,12.4
MA,0.3,0.43,11.15
MA,0.32,0.43,13.58
MA,0.34,0.43,14.85
MA,0.36,0.43,15.25
MA,0.38,0.43,13.08
MA,0.4,0.43,14.94
MA,0.42,0.43,13.77
MA,0.44,0.43,14.31
MA,0.46,0.43,16.33
MA,0.48,0.43,12.44
MA,0.5,0.43,10.36
MA,0.2,0.44,10.46
MA,0.22,0.44,10.24
MA,0.24,0.44,11.99
MA,0.26,0.44,11.64
MA,0.28,0.44,11.63
MA,0.3,0.44,12.92
MA,0.32,0.44,12.95
MA,0.34,0.44,12.32
MA,0.36,0.44,14.25
MA,0.38,0.44,11.52
MA,0.4,0.44,12.6
MA,0.42,0.44,15.46
MA,0.44,0.44,12.81
MA,0.46,0.44,12.76
MA,0.48,0.44,14.28
